City,Country,Latitude,Longitude,Year,Temperature,TempChange25y,TempStd,TempTrend
Abidjan,Côte D'Ivoire,5.63N,3.23W,1900,26.1185,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1901,25.91825,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1902,25.589416666666665,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1903,25.48175,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1904,25.23691666666667,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1905,25.78308333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1906,26.07558333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1907,25.68508333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1908,25.79675,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1909,25.56608333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1910,25.702166666666667,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1911,25.41475,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1912,26.417,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1913,26.32575,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1914,26.27716666666667,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1915,26.28725,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1916,26.131916666666665,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1917,26.473333333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1918,25.932666666666663,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1919,26.19258333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1920,26.324166666666667,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1921,26.42025,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1922,26.229166666666668,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1923,25.962166666666665,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1924,26.092166666666667,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1925,26.091416666666664,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1926,26.793000000000003,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1927,26.23075,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1928,26.162916666666664,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1929,26.50066666666667,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1930,26.391416666666668,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1931,26.43641666666667,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1932,25.80733333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1933,26.54575,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1934,26.375083333333336,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1935,26.152083333333334,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1936,25.881666666666664,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1937,26.53758333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1938,26.53458333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1939,25.84233333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1940,26.60608333333333,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1941,26.771416666666667,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1942,26.342250000000003,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1943,26.06425,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1944,26.556833333333334,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1945,26.515416666666667,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1946,26.250250000000005,0.8367366666666705,0.39841357928671434,Strong warming
Abidjan,Côte D'Ivoire,5.63N,3.23W,1947,26.37108333333333,0.8367366666666705,0.39841357928671434,Strong warming
